_id,cleaned_job_title
89ee36a0c24864ec,adjunct faculty mathematics
75a55c72d43cf8d1,instructor assistant associate professor
5fb627dad500472f,assistant professor computer information science
8180c83ca23d2711,lecturer position
279f647c41699d6b,assistant associate professor learning analytics
90ea9e866a6124d7,visiting teaching assistant professor
7d6088041edef917,assistant associate full professor
dfd331ff48f551eb,instructor assistant associate professor
491ad4b471b11a7a,assistant professor computer science
ae0a72fccf2a19e1,assistant professor computer information science
dc137cef5c12c106,assistant professor biochemistry
688b8c6fe229f31a,cybersecurity assistant professor
087714d9b333f79d,assistant professor computer science
d4135d62b8ff0313,faculty assistant associate professor
1f1eaac6d0f10e28,ecad librarian
ecfe7b8903ba911d,assistant professor information sciences technology
817b2dc74998c434,assistant associate professor
32e9a8f10141a7e8,tenure track assistant associate professor
093e908b9ee1b0d9,assistant associate full professor
9db8ce921c18086e,assistant professor decision system sciences
7d565f149092a512,assistant professor
674867b1db847a7d,assistant associate professor
db9c35203ff069be,assistant professor theatre
07f7aa8b97ec7d52,assistant professor linguistics
a149aeadfb1309b4,tenure track assistant professor
6c600608a450b8c9,assistant professor computer science
3c4314ed1603f315,assistant professor robotics
aa2a265ba6ba03b9,assistant professor practice marketing
a2a9500b87f547b5,adjunct professor computer literacy
adb50c3dc937b83a,assistant teaching professor
0f463cfe6ea3f916,f assistant associate professor
d8729ebc6c190d7f,assistant professor mathematics
bae5d40d4074e866,assistant professor human computer interaction
67c78838365d8e32,assistant professor
97aace97c508a09c,assistant professor
bd2706599a39bd43,faculty
5d3d728e3f5e30b7,assistant professor
e82254d99d819c0f,research assistant professor
14743ca76fbbd2f4,faculty
843d73726cbe1c31,assistant professor fixedterm
aaef4a680e0b6f48,assistant professor
6fcbef2e7014871f,assistant professor mathematical sciences
552d80f3d892a943,assistant professor
dd80ee621d151565,assistant teaching professor
e7c59915958ace0a,assistant professor data sciences
a853bdc4e6694d76,assistant professor
f78811d67608ab48,assistant associate professor
44a8bfbca0ca089c,associate professor tenure
de4ebd0c6c114132,assistant professor cybersecurity
db448cf77ee51308,assistant professor mathematics
f8a3f0d879e88b45,assistant professor
aceeecf9d4449db0,assistant professor computer science
c0e718dc55d5e387,faculty assistant professor
44c31fdc00c991a5,assistant professor
d1ebf7e519a048db,assistant associate professor
befda2daae191d95,adjunct faculty
cd48fb9dfcf0ffb3,assistant professor
454c4b75906a9a3c,assistant associate professor
2b76cf102e325eb3,assistant professor
cf9ad1b6c471cc7d,instructor
ac0ad86f5ca0caf0,assistant professor department drama acting
c09f4ce261922c6b,assistant professor
8b6546ac93a166c3,assistant professor
e9a3dc0132f39ff4,assistant professor visual computing
22bce25a46df480c,assistant professor computer science
98963e1e11ed8605,adjunct instructor computer science
e38f635f45d54fce,assistant professor computer science
a698275e69fa958c,assistant professor computer science
2ba34e01c1606940,assistant professor
b20ac97c3ace1928,asst assoc professor
767d93861d41cfc4,assistant professor
ae72eb130d3fb58c,assistant professor costume design
e35e9ebf4f566d36,assistant professor ct data science
6beac5d32d995353,adjunct professor engineering
c369db494124a729,computer science assistant professor
80ed99a03aa13dfe,assistant associate full professor
994acee3b1882208,assistant professor
7dfc2883e0d8fbca,assistant professor school psychology
dabfd7faf4f4e740,assistant associate professor economics
6927a821b09eda1a,lecturer
08c1d88fced8734c,assistant professor associate professor
3dd05246a11bc9bb,assistant associate professor technology policy
ef005504b54210b9,research assistant professor
1c1da0ec4d09e2fb,assistant associate professor economics
b70e69ad833750e3,librarian
c484db95925d6c16,assistant professor computer science
454e72e9ce5a15f2,assistant professor
a673d10fb1a809e9,assistant professor computer science
b3d0b59b173f10c9,assistant professor architectural technology
42813084b64f32a4,assistant lecturer machine learning department
44a87d1c03427e45,psychology assistant
7e54c16bca574950,assistant professor
29058861cf220e50,assistant professor geography
2b0615292803fbd7,assistant dean
a2643a66b169464e,assistant professor computer science
c95d64f6270c2f88,assistant professor disability aging technology
743b5ea1d0009178,biology tenure track assistant professor
de1e25b97e65279a,assistant associate professor
ae42bd7412697ea1,assistant professor computer science
234c21d9d392c183,assistant professor analytics
39024a1e7455c0c3,assistant professor chemistry
00f9169bccf82b10,assistant professor
47b7a473f78475a6,assistant professor
fc00cdc931d7c58e,assistant professor
e976000e78998645,assistant professor mechanical engineering
35dd6eca8dfc171c,assistant associate professor computer science
e1702cbaa635186b,faculty
0314a57285e230a6,assistant professor computer science
08dbd4a630b48074,assistant professor synthetic biology
678278f6235ec6a9,assistant professor
42485db49562b46f,assistant research professor
c0c50fad1597a360,assistant associate full professor
bc868a8f014ac1c9,assistant associate professor
f201e01d0a777252,assistant professor
d48e877e665bc639,instructor polygraph
30218566ae23398e,assistant associate professor
fdb20b06a752eaf0,assistant professor
c11a806354ed41cf,assistant professor department
0b20005c42ef4c00,assistant professor
f6bc98a0cd44cc5c,adjunct instructor
98d2a41792c31b6c,associate professor
41fe72eafb61401a,assistant professor department computer science
b924ba6bd75b796e,assistant associate full professor accounting
a1f2e67c9b74295a,research assistant professor
8ce9889ea0497850,assistant professor computational linguistics
9655ccad9008c5ac,assistant associate professor
7502289dd1df338a,associate researcher department neurology
9342069d3b1bdb3b,lecturer
38aebbce0d3ef4cf,assistant professor practice software engineering
d449ebd5b145bf01,assistant professor
23ed2b4324f86cb0,assistant professor
8605febc89241911,department chair assoc prof prof
c13942b06a1415b0,full professor entrepreneurship
c25df19acbff7b4a,assistant associate full professor
024646680e0cd3cf,faculty
a9296653018ec29f,assistant professor mechanical engineering
6fc8c958b8ee7dc4,assistant professor mathematics
6e12d73baa08c035,assistant professor cultural anthropology
10815a40506ae2a7,assistant professor computing science
492aea70e80e21df,assistant geologist
12f2783c6d38a216,assistant professor
5798d5ebc1bf0287,assistant professor
feaa9230b6eb5820,assistant professor
3942e365d3780df7,assistant professor computer science
dc2ab2407d69b6ad,assistant associate professor
40d03eb2d47367ca,assistant associate professor
9cd2021081900c8b,assistant professor computer engineering
b047db65b90f2e00,clinical assistant professor
709eb037446c799e,assistant professor computer science
2c1331e119e3c46e,assistant associate professor
207bf15589af98a7,assistant associate professor american politics
894e911712d0783c,faculty assistant professor
83ad2cfd20f80c63,assistant professor
864d96bc5bf73a63,assistant professor
ee6611434c388612,assistant professor
a9f8d827896dcf9b,associate professor computer science
42738c1051d45d9f,assistant professor electrical computer engineering
3e0e7306c9920534,adjunct faculty
e651d1f44ea99b4d,assistant professor
b624f40c317bceb3,assistant professor computer science
6a906a28808fa19e,assistant associate full professor
25e403c1ef422069,assistant professor
75990874bca0b744,assistant professor residence
fd7db19abaccb786,assistant associate professor
261c8ce3fa70f70c,assistant professor engineering
affa25cf13e2d172,assistant professor computer science
8ebd136e5d00adaa,assistant associate professor
74fcfe547e8d424b,instructor
d73ede65ed043f38,assistant professor computing science
27f92a4cb2ed1a10,assistant associate full professor
4c7c11845eacbc1f,assistant professor civil engineering
9f0bbfd9f5d75482,assistant professor
6fca405eda986cff,instructor
c472071ed178324f,assistant professor physics astronomy
35985692b2824e02,faculty
d3e2d71a636690a1,assistant professor finance
17785e349db4e2b8,assistant professor computer science
be2cff589e8eb952,assistant associate professor data science
032d856e7fc27034,assistant professor computer science
d32d60bc7d2a61f3,assistant associate professor
4de08d7c27d594fc,associate professor computer science
753efdfde0ffacd1,assistant associate professor computer science
b720b1dff4d10751,professor
69da3e54ed9e2acc,assistant associate professor sports analytics
13871196a213d6ed,engineering educator teaching professor
154bcb5fd0be8a0f,assistant professor month salaried
cefcea6379827155,assistant professor
112670696b7ae8da,assistant professor computer information science
e1be148d67509a93,assistant professor computer science
b6b95b4bb34d53da,assistant professor
332fda318297dc01,assistant professor cognitive psychology
