"New York, NY",8349
"San Francisco, CA",5910
"Seattle, WA",5746
"Chicago, IL",4921
"Boston, MA",3822
"Washington, DC",3700
"Austin, TX",3498
"Atlanta, GA",3475
"Los Angeles, CA",2984
"Houston, TX",2972
"Dallas, TX",2828
"San Diego, CA",2792
"San Jose, CA",2081
"Charlotte, NC",2044
"St. Louis, MO",2035
"Denver, CO",2027
"Phoenix, AZ",1931
"Philadelphia, PA",1928
"Sunnyvale, CA",1917
"Minneapolis, MN",1464
"Pittsburgh, PA",1410
"Cambridge, MA",1326
"Arlington, VA",1325
"Raleigh, NC",1285
"Portland, OR",1284
"Annapolis Junction, MD",1263
"Reston, VA",1260
"Baltimore, MD",1247
"Santa Clara, CA",1240
"Tampa, FL",1229
"Palo Alto, CA",1209
"Mountain View, CA",1206
"Irvine, CA",1195
"Santa Clara Valley, CA",1188
"Columbus, OH",1185
"Salt Lake City, UT",1115
"Indianapolis, IN",1104
"Richmond, VA",1101
"Orlando, FL",1097
"Herndon, VA",1072
"San Antonio, TX",1068
"Nashville, TN",1063
"Irving, TX",999
"Fort Meade, MD",917
"Bellevue, WA",909
"Detroit, MI",908
"Redmond, WA",873
"McLean, VA",866
"Miami, FL",866
"Cincinnati, OH",834
"Cleveland, OH",774
"Albuquerque, NM",759
"Milwaukee, WI",758
"Chantilly, VA",754
"Plano, TX",753
"Huntsville, AL",734
"Kansas City, MO",733
"Durham, NC",731
"Jacksonville, FL",721
"Las Vegas, NV",694
"Omaha, NE",681
"Jersey City, NJ",680
"Tucson, AZ",669
"Boulder, CO",660
"Chantilly, VA 20151",657
"Alpharetta, GA",650
"Menlo Park, CA",641
"Fort Worth, TX",634
"Oklahoma City, OK",590
"San Francisco, CA 94105 (Financial District area)",581
"El Segundo, CA",578
"Columbia, MD",563
"Waltham, MA",563
"Dayton, OH",549
"Colorado Springs, CO",541
"Redwood City, CA",537
"Syracuse, NY",532
"Scottsdale, AZ",531
"Madison, WI",527
"Louisville, KY",524
"Tempe, AZ",522
"San Francisco, CA 94103 (South Of Market area)",520
"Rockville, MD",514
"Chicago, IL 60606 (Loop area)",511
"Springfield, VA",509
"Rochester, NY",508
"Memphis, TN",502
"Philadelphia, PA 19103",492
"Seattle, WA 98101 (Downtown area)",482
"Fairfax, VA",477
"Bethesda, MD",474
"Santa Monica, CA",463
"Denver, CO 80202 (Lodo area)",455
"Alexandria, VA",449
"San Mateo, CA",445
"Bellevue, WA 98004 (Downtown area)",443
"New York, NY 10001 (Chelsea area)",442
"Buffalo, NY",441
"El Segundo, CA 90245",435
"Princeton, NJ",424
"Auburn Hills, MI",420
"Troy, MI",417
"Fremont, CA",398
"Huntsville, AL 35806",390
"Birmingham, AL",388
"Norfolk, VA",386
"Ann Arbor, MI",382
"Santa Clara, CA 95054",378
"Fort Lauderdale, FL",378
"Reston, VA 20190",374
"Saint Petersburg, FL",373
"Pittsburgh, PA 15222 (Strip District area)",369
"Richardson, TX",369
"Chicago, IL 60601 (Loop area)",369
"New York, NY 10011 (Chelsea area)",366
"Boston, MA 02116 (South End area)",363
"Oakland, CA",362
"Boise, ID",362
"San Francisco, CA 94107 (South Of Market area)",355
"Grand Rapids, MI",355
"Brooklyn, NY",355
"Sunnyvale, CA 94089",350
"Research Triangle Park, NC",348
"Overland Park, KS",348
"New Orleans, LA",348
"Newark, NJ",348
"San Diego, CA 92121",347
"Fort Belvoir, VA",346
"San Jose, CA 95131 (North Valley area)",340
"Pasadena, CA",340
"Beaverton, OR",340
"Wilmington, DE",333
"Hartford, CT",330
"Chandler, AZ",330
"Irvine, CA 92618",330
"Annapolis Junction, MD 20701",329
"Morrisville, NC",328
"Vienna, VA",324
"Redwood City, CA 94063",316
"Manhattan, NY",311
"Cary, NC",307
"Charleston, SC",307
"Burlington, MA",304
"San Francisco Bay Area, CA",296
"New York, NY 10017 (Midtown area)",295
"New York, NY 10016 (Gramercy area)",294
"Dulles, VA",294
California,290
"Chicago, IL 60654 (Loop area)",289
"Saint Paul, MN",288
"Hillsboro, OR 97124",287
"Plano, TX 75024",286
"Farmington Hills, MI",280
"Columbia, SC",279
"Orlando, FL 32819 (Florida Center area)",278
"Houston, TX 77002 (Downtown area)",277
"Honolulu, HI",276
"Pleasanton, CA",275
"Washington, DC 20001 (Shaw area)",274
"Albany, NY",272
"Bloomington, MN",272
"New York, NY 10018 (Clinton area)",272
"Des Moines, IA",271
"Andover, MA",271
Massachusetts,270
"Bedford, MA",269
"Redmond, WA 98052",268
"Westminster, CO",265
"Stamford, CT",261
"San Francisco, CA 94111 (Financial District area)",257
"Waltham, MA 02451",255
"McLean, VA 22102",255
"Boulder, CO 80301",255
"Milpitas, CA",254
"King of Prussia, PA",254
"Winston-Salem, NC",253
"San Francisco, CA 94104 (Financial District area)",253
"Eden Prairie, MN",252
"Manassas, VA",252
"Greenwood Village, CO",251
"Hanover, MD",249
"Cambridge, MA 02139 (Area IV area)",247
"Fort Worth, TX 76108",245
"Auburn Hills, MI 48326",244
"Chicago, IL 60603 (Loop area)",242
"Arlington, VA 22201 (Lyon Village area)",240
"Herndon, VA 20171",239
"Dallas, TX 75201 (City Center District area)",238
"San Diego, CA 92101",238
"Novi, MI",237
"Seattle, WA 98104 (First Hill area)",237
"Lincoln, NE",237
"Falls Church, VA",236
"Columbia, MD 21046",235
"Broomfield, CO",234
"Knoxville, TN",232
"Bentonville, AR 72712",231
"Baton Rouge, LA",230
"Columbus, OH 43240 (Far North area)",230
"Aurora, CO",229
"Boston, MA 02110 (Central area)",229
Virginia,229
"Centennial, CO",228
"Reston, VA 20191",227
"Washington, DC 20005 (Logan Circle area)",227
"Virginia Beach, VA",226
"McLean, VA 22107",225
"Austin, TX 78701 (Downtown area)",225
"Atlanta, GA 30328",224
"Tulsa, OK",223
Michigan,222
